PurchaseOrderID,MaterialID,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,QuantityOrdered,UnitCost,TotalCost,Status
PO000047,M02,S03,Vindhya Herb Traders,2022-03-21,2022-04-05,2022-04-05,60,260.0,15600.0,Delivered On Time
PO000048,M02,S03,Vindhya Herb Traders,2022-04-18,2022-05-03,2022-05-03,70,260.0,18200.0,Delivered On Time
PO000049,M02,S03,Vindhya Herb Traders,2022-05-02,2022-05-17,2022-05-17,70,260.0,18200.0,Delivered On Time
PO000050,M02,S03,Vindhya Herb Traders,2022-05-16,2022-05-31,2022-05-31,50,260.0,13000.0,Delivered On Time
PO000051,M02,S03,Vindhya Herb Traders,2022-05-30,2022-06-14,2022-06-14,60,260.0,15600.0,Delivered On Time
PO000052,M02,S03,Vindhya Herb Traders,2022-06-13,2022-06-28,2022-06-28,60,260.0,15600.0,Delivered On Time
PO000053,M02,S03,Vindhya Herb Traders,2022-06-27,2022-07-12,2022-07-12,50,260.0,13000.0,Delivered On Time
PO000054,M02,S03,Vindhya Herb Traders,2022-07-11,2022-07-26,2022-07-26,70,260.0,18200.0,Delivered On Time
PO000055,M02,S03,Vindhya Herb Traders,2022-08-01,2022-08-16,2022-08-16,60,260.0,15600.0,Delivered On Time
PO000056,M02,S03,Vindhya Herb Traders,2022-08-22,2022-09-06,2022-09-06,50,260.0,13000.0,Delivered On Time
PO000057,M02,S03,Vindhya Herb Traders,2022-09-26,2022-10-11,2022-10-11,60,260.0,15600.0,Delivered On Time
PO000058,M02,S03,Vindhya Herb Traders,2022-11-14,2022-11-29,2022-11-29,60,260.0,15600.0,Delivered On Time
PO000059,M02,S03,Vindhya Herb Traders,2023-01-02,2023-01-17,2023-01-17,60,260.0,15600.0,Delivered On Time
PO000060,M02,S03,Vindhya Herb Traders,2023-02-06,2023-02-21,2023-02-21,60,260.0,15600.0,Delivered On Time
PO000061,M02,S03,Vindhya Herb Traders,2023-03-06,2023-03-21,2023-03-21,60,260.0,15600.0,Delivered On Time
PO000062,M02,S03,Vindhya Herb Traders,2023-04-03,2023-04-18,2023-04-18,60,260.0,15600.0,Delivered On Time
PO000063,M02,S03,Vindhya Herb Traders,2023-04-24,2023-05-09,2023-05-09,80,260.0,20800.0,Delivered On Time
PO000064,M02,S03,Vindhya Herb Traders,2023-05-08,2023-05-23,2023-05-23,70,260.0,18200.0,Delivered On Time
PO000065,M02,S03,Vindhya Herb Traders,2023-05-22,2023-06-06,2023-06-06,70,260.0,18200.0,Delivered On Time
PO000066,M02,S03,Vindhya Herb Traders,2023-06-05,2023-06-20,2023-06-20,60,260.0,15600.0,Delivered On Time
PO000067,M02,S03,Vindhya Herb Traders,2023-06-19,2023-07-04,2023-07-04,70,260.0,18200.0,Delivered On Time
PO000068,M02,S03,Vindhya Herb Traders,2023-07-03,2023-07-18,2023-07-18,60,260.0,15600.0,Delivered On Time
PO000069,M02,S03,Vindhya Herb Traders,2023-07-17,2023-08-01,2023-08-01,60,260.0,15600.0,Delivered On Time
PO000070,M02,S03,Vindhya Herb Traders,2023-07-31,2023-08-15,2023-08-15,70,260.0,18200.0,Delivered On Time
PO000071,M02,S03,Vindhya Herb Traders,2023-08-21,2023-09-05,2023-09-05,60,260.0,15600.0,Delivered On Time
PO000072,M02,S03,Vindhya Herb Traders,2023-09-18,2023-10-03,2023-10-03,60,260.0,15600.0,Delivered On Time
PO000073,M02,S03,Vindhya Herb Traders,2023-11-06,2023-11-21,2023-11-21,60,260.0,15600.0,Delivered On Time
PO000074,M02,S03,Vindhya Herb Traders,2024-01-01,2024-01-16,2024-01-16,60,260.0,15600.0,Delivered On Time
PO000075,M02,S03,Vindhya Herb Traders,2024-01-29,2024-02-13,2024-02-13,70,260.0,18200.0,Delivered On Time
PO000076,M02,S03,Vindhya Herb Traders,2024-02-26,2024-03-12,2024-03-12,60,260.0,15600.0,Delivered On Time
PO000077,M02,S03,Vindhya Herb Traders,2024-03-25,2024-04-09,2024-04-09,60,260.0,15600.0,Delivered On Time
PO000078,M02,S03,Vindhya Herb Traders,2024-04-15,2024-04-30,2024-04-30,80,260.0,20800.0,Delivered On Time
PO000079,M02,S03,Vindhya Herb Traders,2024-04-29,2024-05-14,2024-05-14,70,260.0,18200.0,Delivered On Time
PO000080,M02,S03,Vindhya Herb Traders,2024-05-13,2024-05-28,2024-05-28,80,260.0,20800.0,Delivered On Time
PO000081,M02,S03,Vindhya Herb Traders,2024-05-27,2024-06-11,2024-06-11,80,260.0,20800.0,Delivered On Time
PO000082,M02,S03,Vindhya Herb Traders,2024-06-10,2024-06-25,2024-06-25,80,260.0,20800.0,Delivered On Time
PO000083,M02,S03,Vindhya Herb Traders,2024-06-24,2024-07-09,2024-07-09,80,260.0,20800.0,Delivered On Time
PO000084,M02,S03,Vindhya Herb Traders,2024-07-08,2024-07-23,2024-07-23,60,260.0,15600.0,Delivered On Time
PO000085,M02,S03,Vindhya Herb Traders,2024-07-22,2024-08-06,2024-08-06,80,260.0,20800.0,Delivered On Time
PO000086,M02,S03,Vindhya Herb Traders,2024-08-05,2024-08-20,2024-08-20,80,260.0,20800.0,Delivered On Time
PO000087,M02,S03,Vindhya Herb Traders,2024-08-26,2024-09-10,2024-09-10,60,260.0,15600.0,Delivered On Time
PO000088,M02,S03,Vindhya Herb Traders,2024-09-23,2024-10-08,2024-10-08,50,260.0,13000.0,Delivered On Time
PO000089,M02,S03,Vindhya Herb Traders,2024-11-04,2024-11-19,2024-11-19,60,260.0,15600.0,Delivered On Time
PO000090,M02,S03,Vindhya Herb Traders,2024-12-02,2024-12-17,2024-12-17,60,260.0,15600.0,Delivered On Time
PO000091,M03,S03,Vindhya Herb Traders,2022-01-24,2022-02-08,2022-02-15,50,340.0,17000.0,Delivered Late
PO000092,M03,S03,Vindhya Herb Traders,2022-03-07,2022-03-22,2022-03-22,50,340.0,17000.0,Delivered On Time
PO000093,M03,S03,Vindhya Herb Traders,2022-04-18,2022-05-03,2022-05-03,50,340.0,17000.0,Delivered On Time
PO000094,M03,S03,Vindhya Herb Traders,2022-05-23,2022-06-07,2022-06-07,60,340.0,20400.0,Delivered On Time
PO000095,M03,S03,Vindhya Herb Traders,2022-06-27,2022-07-12,2022-07-12,50,340.0,17000.0,Delivered On Time
PO000096,M03,S03,Vindhya Herb Traders,2022-08-08,2022-08-23,2022-08-23,60,340.0,20400.0,Delivered On Time
PO000097,M03,S03,Vindhya Herb Traders,2022-09-05,2022-09-20,2022-09-20,60,340.0,20400.0,Delivered On Time
PO000098,M03,S03,Vindhya Herb Traders,2022-09-26,2022-10-11,2022-10-11,70,340.0,23800.0,Delivered On Time
PO000099,M03,S03,Vindhya Herb Traders,2022-10-10,2022-10-25,2022-10-25,60,340.0,20400.0,Delivered On Time
PO000100,M03,S03,Vindhya Herb Traders,2022-10-24,2022-11-08,2022-11-08,60,340.0,20400.0,Delivered On Time
PO000101,M03,S03,Vindhya Herb Traders,2022-11-07,2022-11-22,2022-11-22,50,340.0,17000.0,Delivered On Time
PO000102,M03,S03,Vindhya Herb Traders,2022-11-21,2022-12-06,2022-12-06,50,340.0,17000.0,Delivered On Time
PO000103,M03,S03,Vindhya Herb Traders,2022-12-05,2022-12-20,2022-12-20,60,340.0,20400.0,Delivered On Time
PO000104,M03,S03,Vindhya Herb Traders,2022-12-26,2023-01-10,2023-01-10,70,340.0,23800.0,Delivered On Time
PO000105,M03,S03,Vindhya Herb Traders,2023-01-16,2023-01-31,2023-01-31,60,340.0,20400.0,Delivered On Time
PO000106,M03,S03,Vindhya Herb Traders,2023-02-27,2023-03-14,2023-03-14,60,340.0,20400.0,Delivered On Time
PO000107,M03,S03,Vindhya Herb Traders,2023-04-10,2023-04-25,2023-04-25,50,340.0,17000.0,Delivered On Time
PO000108,M03,S03,Vindhya Herb Traders,2023-05-15,2023-05-30,2023-05-30,60,340.0,20400.0,Delivered On Time
PO000109,M03,S03,Vindhya Herb Traders,2023-06-19,2023-07-04,2023-07-04,50,340.0,17000.0,Delivered On Time
PO000110,M03,S03,Vindhya Herb Traders,2023-07-24,2023-08-08,2023-08-08,50,340.0,17000.0,Delivered On Time
PO000111,M03,S03,Vindhya Herb Traders,2023-08-21,2023-09-05,2023-09-05,50,340.0,17000.0,Delivered On Time
PO000112,M03,S03,Vindhya Herb Traders,2023-09-11,2023-09-26,2023-09-26,50,340.0,17000.0,Delivered On Time
PO000113,M03,S03,Vindhya Herb Traders,2023-09-25,2023-10-10,2023-10-10,70,340.0,23800.0,Delivered On Time
PO000114,M03,S03,Vindhya Herb Traders,2023-10-09,2023-10-24,2023-10-24,60,340.0,20400.0,Delivered On Time
PO000115,M03,S03,Vindhya Herb Traders,2023-10-23,2023-11-07,2023-11-07,50,340.0,17000.0,Delivered On Time
PO000116,M03,S03,Vindhya Herb Traders,2023-11-06,2023-11-21,2023-11-28,60,340.0,20400.0,Delivered Late
PO000117,M03,S03,Vindhya Herb Traders,2023-11-27,2023-12-12,2023-12-12,90,340.0,30600.0,Delivered On Time
PO000118,M03,S03,Vindhya Herb Traders,2023-12-11,2023-12-26,2023-12-26,60,340.0,20400.0,Delivered On Time
PO000119,M03,S03,Vindhya Herb Traders,2023-12-25,2024-01-09,2024-01-09,60,340.0,20400.0,Delivered On Time
PO000120,M03,S03,Vindhya Herb Traders,2024-01-22,2024-02-06,2024-02-06,50,340.0,17000.0,Delivered On Time
PO000121,M03,S03,Vindhya Herb Traders,2024-02-26,2024-03-12,2024-03-12,60,340.0,20400.0,Delivered On Time
PO000122,M03,S03,Vindhya Herb Traders,2024-04-01,2024-04-16,2024-04-16,60,340.0,20400.0,Delivered On Time
PO000123,M03,S03,Vindhya Herb Traders,2024-04-29,2024-05-14,2024-05-14,50,340.0,17000.0,Delivered On Time
PO000124,M03,S03,Vindhya Herb Traders,2024-05-27,2024-06-11,2024-06-11,60,340.0,20400.0,Delivered On Time
PO000125,M03,S03,Vindhya Herb Traders,2024-06-24,2024-07-09,2024-07-09,50,340.0,17000.0,Delivered On Time
PO000126,M03,S03,Vindhya Herb Traders,2024-07-22,2024-08-06,2024-08-06,60,340.0,20400.0,Delivered On Time
PO000127,M03,S03,Vindhya Herb Traders,2024-08-12,2024-08-27,2024-08-27,50,340.0,17000.0,Delivered On Time
PO000128,M03,S03,Vindhya Herb Traders,2024-09-02,2024-09-17,2024-09-17,70,340.0,23800.0,Delivered On Time
PO000129,M03,S03,Vindhya Herb Traders,2024-09-16,2024-10-01,2024-10-01,60,340.0,20400.0,Delivered On Time
PO000130,M03,S03,Vindhya Herb Traders,2024-09-30,2024-10-15,2024-10-15,70,340.0,23800.0,Delivered On Time
PO000131,M03,S03,Vindhya Herb Traders,2024-10-14,2024-10-29,2024-10-29,70,340.0,23800.0,Delivered On Time
PO000132,M03,S03,Vindhya Herb Traders,2024-10-28,2024-11-12,2024-11-12,70,340.0,23800.0,Delivered On Time
PO000133,M03,S03,Vindhya Herb Traders,2024-11-18,2024-12-03,2024-12-03,60,340.0,20400.0,Delivered On Time
PO000134,M04,S03,Vindhya Herb Traders,2022-01-17,2022-02-01,2022-02-01,30,300.0,9000.0,Delivered On Time
PO000135,M04,S03,Vindhya Herb Traders,2022-03-07,2022-03-22,2022-03-29,30,300.0,9000.0,Delivered Late
PO000136,M04,S03,Vindhya Herb Traders,2022-05-02,2022-05-17,2022-05-17,30,300.0,9000.0,Delivered On Time
PO000137,M04,S03,Vindhya Herb Traders,2022-06-13,2022-06-28,2022-06-28,30,300.0,9000.0,Delivered On Time
PO000138,M04,S03,Vindhya Herb Traders,2022-07-18,2022-08-02,2022-08-02,30,300.0,9000.0,Delivered On Time
PO000139,M04,S03,Vindhya Herb Traders,2022-08-22,2022-09-06,2022-09-13,30,300.0,9000.0,Delivered Late
PO000140,M04,S03,Vindhya Herb Traders,2022-09-12,2022-09-27,2022-09-27,30,300.0,9000.0,Delivered On Time
PO000141,M04,S03,Vindhya Herb Traders,2022-09-26,2022-10-11,2022-10-11,30,300.0,9000.0,Delivered On Time
PO000142,M04,S03,Vindhya Herb Traders,2022-10-17,2022-11-01,2022-11-01,40,300.0,12000.0,Delivered On Time
PO000143,M04,S03,Vindhya Herb Traders,2022-11-07,2022-11-22,2022-11-22,30,300.0,9000.0,Delivered On Time
PO000144,M04,S03,Vindhya Herb Traders,2022-11-28,2022-12-13,2022-12-13,40,300.0,12000.0,Delivered On Time
PO000145,M04,S03,Vindhya Herb Traders,2022-12-19,2023-01-03,2023-01-03,30,300.0,9000.0,Delivered On Time
PO000146,M04,S03,Vindhya Herb Traders,2023-01-02,2023-01-17,2023-01-17,30,300.0,9000.0,Delivered On Time
PO000147,M04,S03,Vindhya Herb Traders,2023-02-06,2023-02-21,2023-02-21,30,300.0,9000.0,Delivered On Time
PO000148,M04,S03,Vindhya Herb Traders,2023-03-20,2023-04-04,2023-04-04,30,300.0,9000.0,Delivered On Time
PO000149,M04,S03,Vindhya Herb Traders,2023-04-24,2023-05-09,2023-05-09,30,300.0,9000.0,Delivered On Time
PO000150,M04,S03,Vindhya Herb Traders,2023-06-05,2023-06-20,2023-06-20,30,300.0,9000.0,Delivered On Time
PO000151,M04,S03,Vindhya Herb Traders,2023-07-10,2023-07-25,2023-07-25,30,300.0,9000.0,Delivered On Time
PO000152,M04,S03,Vindhya Herb Traders,2023-08-14,2023-08-29,2023-08-29,30,300.0,9000.0,Delivered On Time
PO000153,M04,S03,Vindhya Herb Traders,2023-09-04,2023-09-19,2023-09-19,30,300.0,9000.0,Delivered On Time
PO000154,M04,S03,Vindhya Herb Traders,2023-09-18,2023-10-03,2023-10-03,30,300.0,9000.0,Delivered On Time
PO000155,M04,S03,Vindhya Herb Traders,2023-10-02,2023-10-17,2023-10-17,30,300.0,9000.0,Delivered On Time
PO000156,M04,S03,Vindhya Herb Traders,2023-10-16,2023-10-31,2023-10-31,30,300.0,9000.0,Delivered On Time
PO000157,M04,S03,Vindhya Herb Traders,2023-10-30,2023-11-14,2023-11-14,30,300.0,9000.0,Delivered On Time
PO000158,M04,S03,Vindhya Herb Traders,2023-11-13,2023-11-28,2023-11-28,30,300.0,9000.0,Delivered On Time
PO000159,M04,S03,Vindhya Herb Traders,2023-11-27,2023-12-12,2023-12-12,30,300.0,9000.0,Delivered On Time
PO000160,M04,S03,Vindhya Herb Traders,2023-12-11,2023-12-26,2023-12-26,30,300.0,9000.0,Delivered On Time
PO000161,M04,S03,Vindhya Herb Traders,2024-01-01,2024-01-16,2024-01-16,40,300.0,12000.0,Delivered On Time
PO000162,M04,S03,Vindhya Herb Traders,2024-01-22,2024-02-06,2024-02-06,30,300.0,9000.0,Delivered On Time
PO000163,M04,S03,Vindhya Herb Traders,2024-02-26,2024-03-12,2024-03-12,30,300.0,9000.0,Delivered On Time
PO000164,M04,S03,Vindhya Herb Traders,2024-04-01,2024-04-16,2024-04-23,30,300.0,9000.0,Delivered Late
PO000165,M04,S03,Vindhya Herb Traders,2024-05-06,2024-05-21,2024-05-21,30,300.0,9000.0,Delivered On Time
PO000166,M04,S03,Vindhya Herb Traders,2024-06-03,2024-06-18,2024-06-18,30,300.0,9000.0,Delivered On Time
PO000167,M04,S03,Vindhya Herb Traders,2024-07-08,2024-07-23,2024-07-23,30,300.0,9000.0,Delivered On Time
PO000168,M04,S03,Vindhya Herb Traders,2024-08-05,2024-08-20,2024-08-20,30,300.0,9000.0,Delivered On Time
PO000169,M04,S03,Vindhya Herb Traders,2024-08-19,2024-09-03,2024-09-03,30,300.0,9000.0,Delivered On Time
PO000170,M04,S03,Vindhya Herb Traders,2024-09-09,2024-09-24,2024-09-24,40,300.0,12000.0,Delivered On Time
PO000171,M04,S03,Vindhya Herb Traders,2024-09-23,2024-10-08,2024-10-08,30,300.0,9000.0,Delivered On Time
PO000172,M04,S03,Vindhya Herb Traders,2024-10-07,2024-10-22,2024-10-22,30,300.0,9000.0,Delivered On Time
PO000173,M04,S03,Vindhya Herb Traders,2024-10-21,2024-11-05,2024-11-05,40,300.0,12000.0,Delivered On Time
PO000174,M04,S03,Vindhya Herb Traders,2024-11-04,2024-11-19,2024-11-19,30,300.0,9000.0,Delivered On Time
PO000175,M04,S03,Vindhya Herb Traders,2024-12-02,2024-12-17,2024-12-17,30,300.0,9000.0,Delivered On Time
PO000176,M05,S03,Vindhya Herb Traders,2022-01-10,2022-01-25,2022-01-25,30,420.0,12600.0,Delivered On Time
PO000177,M05,S03,Vindhya Herb Traders,2022-02-28,2022-03-15,2022-03-15,30,420.0,12600.0,Delivered On Time
PO000178,M05,S03,Vindhya Herb Traders,2022-04-11,2022-04-26,2022-04-26,30,420.0,12600.0,Delivered On Time
PO000179,M05,S03,Vindhya Herb Traders,2022-05-23,2022-06-07,2022-06-07,30,420.0,12600.0,Delivered On Time
PO000180,M05,S03,Vindhya Herb Traders,2022-06-27,2022-07-12,2022-07-12,30,420.0,12600.0,Delivered On Time
PO000181,M05,S03,Vindhya Herb Traders,2022-07-25,2022-08-09,2022-08-09,30,420.0,12600.0,Delivered On Time
PO000182,M05,S03,Vindhya Herb Traders,2022-08-22,2022-09-06,2022-09-06,40,420.0,16800.0,Delivered On Time
PO000183,M05,S03,Vindhya Herb Traders,2022-09-19,2022-10-04,2022-10-04,40,420.0,16800.0,Delivered On Time
PO000184,M05,S03,Vindhya Herb Traders,2022-10-10,2022-10-25,2022-10-25,40,420.0,16800.0,Delivered On Time
PO000185,M05,S03,Vindhya Herb Traders,2022-10-24,2022-11-08,2022-11-08,30,420.0,12600.0,Delivered On Time
PO000186,M05,S03,Vindhya Herb Traders,2022-11-07,2022-11-22,2022-11-22,40,420.0,16800.0,Delivered On Time
PO000187,M05,S03,Vindhya Herb Traders,2022-11-28,2022-12-13,2022-12-13,40,420.0,16800.0,Delivered On Time
PO000188,M05,S03,Vindhya Herb Traders,2022-12-19,2023-01-03,2023-01-03,40,420.0,16800.0,Delivered On Time
PO000189,M05,S03,Vindhya Herb Traders,2023-01-02,2023-01-17,2023-01-17,40,420.0,16800.0,Delivered On Time
PO000190,M05,S03,Vindhya Herb Traders,2023-02-13,2023-02-28,2023-02-28,30,420.0,12600.0,Delivered On Time
PO000191,M05,S03,Vindhya Herb Traders,2023-03-20,2023-04-04,2023-04-04,30,420.0,12600.0,Delivered On Time
PO000192,M05,S03,Vindhya Herb Traders,2023-05-01,2023-05-16,2023-05-16,30,420.0,12600.0,Delivered On Time
PO000193,M05,S03,Vindhya Herb Traders,2023-06-05,2023-06-20,2023-06-20,40,420.0,16800.0,Delivered On Time
PO000194,M05,S03,Vindhya Herb Traders,2023-07-17,2023-08-01,2023-08-01,30,420.0,12600.0,Delivered On Time
PO000195,M05,S03,Vindhya Herb Traders,2023-08-14,2023-08-29,2023-08-29,30,420.0,12600.0,Delivered On Time
PO000196,M05,S03,Vindhya Herb Traders,2023-09-04,2023-09-19,2023-09-19,30,420.0,12600.0,Delivered On Time
PO000197,M05,S03,Vindhya Herb Traders,2023-09-18,2023-10-03,2023-10-03,40,420.0,16800.0,Delivered On Time
PO000198,M05,S03,Vindhya Herb Traders,2023-10-02,2023-10-17,2023-10-17,30,420.0,12600.0,Delivered On Time
PO000199,M05,S03,Vindhya Herb Traders,2023-10-16,2023-10-31,2023-10-31,30,420.0,12600.0,Delivered On Time
PO000200,M05,S03,Vindhya Herb Traders,2023-10-30,2023-11-14,2023-11-14,30,420.0,12600.0,Delivered On Time
PO000201,M05,S03,Vindhya Herb Traders,2023-11-20,2023-12-05,2023-12-05,40,420.0,16800.0,Delivered On Time
PO000202,M05,S03,Vindhya Herb Traders,2023-12-04,2023-12-19,2023-12-19,40,420.0,16800.0,Delivered On Time
PO000203,M05,S03,Vindhya Herb Traders,2023-12-18,2024-01-02,2024-01-02,30,420.0,12600.0,Delivered On Time
PO000204,M05,S03,Vindhya Herb Traders,2024-01-01,2024-01-16,2024-01-16,30,420.0,12600.0,Delivered On Time
PO000205,M05,S03,Vindhya Herb Traders,2024-02-05,2024-02-20,2024-02-20,30,420.0,12600.0,Delivered On Time
PO000206,M05,S03,Vindhya Herb Traders,2024-03-04,2024-03-19,2024-03-26,30,420.0,12600.0,Delivered Late
PO000207,M05,S03,Vindhya Herb Traders,2024-04-08,2024-04-23,2024-04-23,30,420.0,12600.0,Delivered On Time
PO000208,M05,S03,Vindhya Herb Traders,2024-05-06,2024-05-21,2024-05-21,30,420.0,12600.0,Delivered On Time
PO000209,M05,S03,Vindhya Herb Traders,2024-06-03,2024-06-18,2024-06-18,30,420.0,12600.0,Delivered On Time
PO000210,M05,S03,Vindhya Herb Traders,2024-07-01,2024-07-16,2024-07-16,30,420.0,12600.0,Delivered On Time
PO000211,M05,S03,Vindhya Herb Traders,2024-07-29,2024-08-13,2024-08-13,30,420.0,12600.0,Delivered On Time
PO000212,M05,S03,Vindhya Herb Traders,2024-08-19,2024-09-03,2024-09-03,30,420.0,12600.0,Delivered On Time
PO000213,M05,S03,Vindhya Herb Traders,2024-09-02,2024-09-17,2024-09-17,30,420.0,12600.0,Delivered On Time
PO000214,M05,S03,Vindhya Herb Traders,2024-09-16,2024-10-01,2024-10-01,50,420.0,21000.0,Delivered On Time
PO000215,M05,S03,Vindhya Herb Traders,2024-09-30,2024-10-15,2024-10-15,30,420.0,12600.0,Delivered On Time
PO000216,M05,S03,Vindhya Herb Traders,2024-10-14,2024-10-29,2024-10-29,40,420.0,16800.0,Delivered On Time
PO000217,M05,S03,Vindhya Herb Traders,2024-11-04,2024-11-19,2024-11-19,50,420.0,21000.0,Delivered On Time
PO000218,M05,S03,Vindhya Herb Traders,2024-12-02,2024-12-17,2024-12-17,30,420.0,12600.0,Delivered On Time
PO000219,M06,S03,Vindhya Herb Traders,2022-02-07,2022-02-22,2022-02-22,40,280.0,11200.0,Delivered On Time
