ProductID,WeekEnd,OpeningStock,Produced,Rejected,GoodProduced,Sold,ClosingStock
P001,2023-09-03,1040,389,8,381,275,1146
P001,2023-09-10,1146,273,5,268,425,989
P001,2023-09-17,989,180,4,176,347,818
P001,2023-09-24,818,143,3,140,382,576
P001,2023-10-01,576,224,4,220,265,531
P001,2023-10-08,531,112,2,110,175,466
P001,2023-10-15,466,119,2,117,139,444
P001,2023-10-22,444,99,2,97,221,320
P001,2023-10-29,320,134,3,131,108,343
P001,2023-11-05,343,105,2,103,117,329
P001,2023-11-12,329,63,1,62,97,294
P001,2023-11-19,294,132,3,129,132,291
P001,2023-11-26,291,105,2,103,102,292
P001,2023-12-03,292,83,2,81,61,312
P001,2023-12-10,312,115,2,113,79,346
P001,2023-12-17,346,70,1,69,118,297
P001,2023-12-24,297,156,3,153,117,333
P001,2023-12-31,333,103,2,101,113,321
P001,2024-01-07,321,96,2,94,68,347
P001,2024-01-14,347,102,2,100,155,292
P001,2024-01-21,292,102,2,100,100,292
P001,2024-01-28,292,96,2,94,94,292
P001,2024-02-04,292,85,2,83,83,292
P001,2024-02-11,292,100,2,98,66,324
P001,2024-02-18,324,264,5,259,106,477
P001,2024-02-25,477,167,3,164,114,527
P001,2024-03-03,527,145,3,142,106,563
P001,2024-03-10,563,159,3,156,262,457
P001,2024-03-17,457,192,4,188,162,483
P001,2024-03-24,483,230,5,225,142,566
P001,2024-03-31,566,164,3,161,156,571
P001,2024-04-07,571,215,4,211,189,593
P001,2024-04-14,593,173,3,170,226,537
P001,2024-04-21,537,203,4,199,159,577
P001,2024-04-28,577,163,3,160,212,525
P001,2024-05-05,525,143,3,140,169,496
P001,2024-05-12,496,217,4,213,200,509
P001,2024-05-19,509,362,7,355,159,705
P001,2024-05-26,705,457,9,448,140,1013
P001,2024-06-02,1013,355,7,348,214,1147
P001,2024-06-09,1147,274,5,269,358,1058
P001,2024-06-16,1058,526,11,515,450,1123
P001,2024-06-23,1123,306,6,300,346,1077
P001,2024-06-30,1077,308,6,302,267,1112
P001,2024-07-07,1112,281,6,275,521,866
P001,2024-07-14,866,364,7,357,295,928
P001,2024-07-21,928,333,7,326,302,952
P001,2024-07-28,952,393,8,385,275,1062
P001,2024-08-04,1062,415,8,407,358,1111
P001,2024-08-11,1111,488,10,478,326,1263
P001,2024-08-18,1263,222,4,218,386,1095
P001,2024-08-25,1095,453,9,444,407,1132
P001,2024-09-01,1132,440,9,431,480,1083
P001,2024-09-08,1083,425,8,417,212,1288
P001,2024-09-15,1288,262,5,257,449,1096
P001,2024-09-22,1096,190,4,186,431,851
P001,2024-09-29,851,133,3,130,416,565
P001,2024-10-06,565,247,5,242,254,553
P001,2024-10-13,553,171,3,168,185,536
P001,2024-10-20,536,125,2,123,129,530
P001,2024-10-27,530,107,2,105,244,391
P001,2024-11-03,391,83,2,81,166,306
P001,2024-11-10,306,129,3,126,122,310
P001,2024-11-17,310,114,2,112,105,317
P001,2024-11-24,317,98,2,96,81,332
P001,2024-12-01,332,168,3,165,127,370
P001,2024-12-08,370,120,2,118,111,377
P001,2024-12-15,377,37,1,36,96,317
P001,2024-12-22,317,143,3,140,166,291
P001,2024-12-29,291,120,2,118,117,292
P001,2025-01-05,292,330,7,323,35,580
P002,2022-01-02,572,0,0,0,8,564
P002,2022-01-09,564,0,0,0,29,535
P002,2022-01-16,535,0,0,0,89,446
P002,2022-01-23,446,0,0,0,79,367
P002,2022-01-30,367,0,0,0,77,290
P002,2022-02-06,290,60,1,59,64,285
P002,2022-02-13,285,71,1,70,70,285
P002,2022-02-20,285,145,3,142,81,346
P002,2022-02-27,346,132,3,129,74,401
P002,2022-03-06,401,114,2,112,120,393
P002,2022-03-13,393,120,2,118,155,356
P002,2022-03-20,356,171,3,168,129,395
P002,2022-03-27,395,153,3,150,111,434
P002,2022-04-03,434,103,2,101,118,417
P002,2022-04-10,417,146,3,143,169,391
P002,2022-04-17,391,112,2,110,150,351
P002,2022-04-24,351,131,3,128,100,379
P002,2022-05-01,379,128,3,125,144,360
P002,2022-05-08,360,133,3,130,109,381
P002,2022-05-15,381,247,5,242,129,494
P002,2022-05-22,494,233,5,228,125,597
P002,2022-05-29,597,266,5,261,130,728
P002,2022-06-05,728,392,8,384,244,868
P002,2022-06-12,868,287,6,281,228,921
P002,2022-06-19,921,313,6,307,261,967
P002,2022-06-26,967,272,5,267,387,847
P002,2022-07-03,847,288,6,282,279,850
P002,2022-07-10,850,348,7,341,307,884
P002,2022-07-17,884,300,6,294,266,912
P002,2022-07-24,912,317,6,311,283,940
P002,2022-07-31,940,264,5,259,342,857
P002,2022-08-07,857,299,6,293,293,857
P002,2022-08-14,857,344,7,337,311,883
P002,2022-08-21,883,222,4,218,258,843
P002,2022-08-28,843,199,4,195,294,744
P002,2022-09-04,744,217,4,213,338,619
P002,2022-09-11,619,248,5,243,215,647
P002,2022-09-18,647,186,4,182,195,634
P002,2022-09-25,634,164,3,161,213,582
P002,2022-10-02,582,212,4,208,244,546
P002,2022-10-09,546,96,2,94,181,459
P002,2022-10-16,459,70,1,69,160,368
P002,2022-10-23,368,127,3,124,209,283
P002,2022-10-30,283,95,2,93,92,284
P002,2022-11-06,284,84,2,82,68,298
P002,2022-11-13,298,96,2,94,108,284
P002,2022-11-20,284,81,2,79,79,284
P002,2022-11-27,284,115,2,113,113,284
P002,2022-12-04,284,70,1,69,68,285
P002,2022-12-11,285,75,2,73,74,284
P002,2022-12-18,284,109,2,107,107,284
P002,2022-12-25,284,68,1,67,66,285
P002,2023-01-01,285,102,2,100,101,284
P002,2023-01-08,284,86,2,84,84,284
P002,2023-01-15,284,97,2,95,95,284
P002,2023-01-22,284,79,2,77,77,284
P002,2023-01-29,284,94,2,92,92,284
P002,2023-02-05,284,72,1,71,70,285
P002,2023-02-12,285,93,2,91,92,284
P002,2023-02-19,284,91,2,89,89,284
P002,2023-02-26,284,131,3,128,42,370
P002,2023-03-05,370,169,3,166,114,422
P002,2023-03-12,422,159,3,156,117,461
P002,2023-03-19,461,139,3,136,142,455
P002,2023-03-26,455,141,3,138,166,427
P002,2023-04-02,427,182,4,178,156,449
P002,2023-04-09,449,162,3,159,136,472
P002,2023-04-16,472,130,3,127,138,461
P002,2023-04-23,461,154,3,151,179,433
P002,2023-04-30,433,180,4,176,158,451
P002,2023-05-07,451,179,4,175,127,499
P002,2023-05-14,499,317,6,311,151,659
P002,2023-05-21,659,229,5,224,177,706
P002,2023-05-28,706,344,7,337,175,868
P002,2023-06-04,868,367,7,360,313,915
P002,2023-06-11,915,339,7,332,223,1024
P002,2023-06-18,1024,355,7,348,339,1033
P002,2023-06-25,1033,412,8,404,360,1077
P002,2023-07-02,1077,282,6,276,332,1021
P002,2023-07-09,1021,366,7,359,348,1032
P002,2023-07-16,1032,270,5,265,405,892
P002,2023-07-23,892,437,9,428,274,1046
P002,2023-07-30,1046,313,6,307,360,993
P002,2023-08-06,993,255,5,250,263,980
P002,2023-08-13,980,337,7,330,432,878
P002,2023-08-20,878,310,6,304,304,878
P002,2023-08-27,878,447,9,438,249,1067
P002,2023-09-03,1067,317,6,311,332,1046
P002,2023-09-10,1046,377,8,369,303,1112
P002,2023-09-17,1112,106,2,104,441,775
P002,2023-09-24,775,114,2,112,308,579
P002,2023-10-01,579,227,5,222,371,430
P002,2023-10-08,430,167,3,164,98,496
P002,2023-10-15,496,145,3,142,112,526
P002,2023-10-22,526,88,2,86,225,387
P002,2023-10-29,387,73,1,72,162,297
P002,2023-11-05,297,131,3,128,142,283
P002,2023-11-12,283,88,2,86,85,284
P002,2023-11-19,284,73,1,72,71,285
P002,2023-11-26,285,49,1,48,46,287
P002,2023-12-03,287,112,2,110,113,284
P002,2023-12-10,284,115,2,113,113,284
P002,2023-12-17,284,80,2,78,62,300
P002,2023-12-24,300,76,2,74,90,284
P002,2023-12-31,284,89,2,87,87,284
P002,2024-01-07,284,127,3,124,125,283
P002,2024-01-14,283,29,1,28,26,285
P002,2024-01-21,285,63,1,62,52,295
P002,2024-01-28,295,117,2,115,126,284
P002,2024-02-04,284,88,2,86,86,284
P002,2024-02-11,284,86,2,84,84,284
P002,2024-02-18,284,201,4,197,78,403
P002,2024-02-25,403,158,3,155,99,459
P002,2024-03-03,459,243,5,238,92,605
P002,2024-03-10,605,214,4,210,216,599
P002,2024-03-17,599,156,3,153,154,598
P002,2024-03-24,598,141,3,138,240,496
P002,2024-03-31,496,167,3,164,209,451
P002,2024-04-07,451,189,4,185,152,484
P002,2024-04-14,484,171,3,168,138,514
P002,2024-04-21,514,134,3,131,164,481
P002,2024-04-28,481,141,3,138,186,433
P002,2024-05-05,433,176,4,172,167,438
P002,2024-05-12,438,197,4,193,131,500
P002,2024-05-19,500,469,9,460,138,822
P002,2024-05-26,822,410,8,402,173,1051
P002,2024-06-02,1051,363,7,356,193,1214
P002,2024-06-09,1214,388,8,380,465,1129
P002,2024-06-16,1129,459,9,450,401,1178
P002,2024-06-23,1178,433,9,424,355,1247
P002,2024-06-30,1247,393,8,385,381,1251
P002,2024-07-07,1251,419,8,411,451,1211
P002,2024-07-14,1211,364,7,357,424,1144
P002,2024-07-21,1144,328,7,321,384,1081
P002,2024-07-28,1081,510,10,500,411,1170
P002,2024-08-04,1170,252,5,247,356,1061
P002,2024-08-11,1061,449,9,440,321,1180
P002,2024-08-18,1180,350,7,343,503,1020
P002,2024-08-25,1020,427,9,418,242,1196
P002,2024-09-01,1196,443,9,434,444,1186
P002,2024-09-08,1186,390,8,382,341,1227
P002,2024-09-15,1227,268,5,263,420,1070
P002,2024-09-22,1070,217,4,213,434,849
P002,2024-09-29,849,151,3,148,381,616
P002,2024-10-06,616,217,4,213,260,569
P002,2024-10-13,569,138,3,135,212,492
P002,2024-10-20,492,152,3,149,147,494
P002,2024-10-27,494,102,2,100,214,380
P002,2024-11-03,380,125,2,123,134,369
P002,2024-11-10,369,66,1,65,149,285
P002,2024-11-17,285,100,2,98,99,284
P002,2024-11-24,284,125,2,123,123,284
P002,2024-12-01,284,63,1,62,61,285
P002,2024-12-08,285,100,2,98,45,338
P002,2024-12-15,338,44,1,43,96,285
P002,2024-12-22,285,103,2,101,102,284
P002,2024-12-29,284,144,3,141,142,283
P002,2025-01-05,283,316,6,310,27,566
P003,2022-01-02,525,375,8,367,52,840
P003,2022-01-09,840,276,6,270,278,832
P003,2022-01-16,832,243,5,238,275,795
P003,2022-01-23,795,231,5,226,295,726
P003,2022-01-30,726,138,3,135,268,593
P003,2022-02-06,593,308,6,302,237,658
P003,2022-02-13,658,124,2,122,226,554
P003,2022-02-20,554,59,1,58,133,479
P003,2022-02-27,479,105,2,103,305,277
P003,2022-03-06,277,103,2,101,118,260
P003,2022-03-13,260,60,1,59,57,262
P003,2022-03-20,262,104,2,102,104,260
P003,2022-03-27,260,92,2,90,76,274
P003,2022-04-03,274,101,2,99,83,290
P003,2022-04-10,290,82,2,80,96,274
P003,2022-04-17,274,85,2,83,97,260
P003,2022-04-24,260,101,2,99,99,260
P003,2022-05-01,260,82,2,80,80,260
P003,2022-05-08,260,78,2,76,76,260
P003,2022-05-15,260,88,2,86,86,260
P003,2022-05-22,260,82,2,80,44,296
P003,2022-05-29,296,125,2,123,69,350
P003,2022-06-05,350,109,2,107,132,325
P003,2022-06-12,325,124,2,122,97,350
P003,2022-06-19,350,98,2,96,123,323
P003,2022-06-26,323,119,2,117,107,333
P003,2022-07-03,333,71,1,70,122,281
P003,2022-07-10,281,151,3,148,96,333
P003,2022-07-17,333,78,2,76,117,292
P003,2022-07-24,292,103,2,101,69,324
P003,2022-07-31,324,133,3,130,150,304
P003,2022-08-07,304,128,3,125,75,354
P003,2022-08-14,354,39,1,38,101,291
P003,2022-08-21,291,153,3,150,131,310
P003,2022-08-28,310,97,2,95,125,280
P003,2022-09-04,280,94,2,92,36,336
P003,2022-09-11,336,116,2,114,152,298
P003,2022-09-18,298,135,3,132,94,336
P003,2022-09-25,336,137,3,134,92,378
P003,2022-10-02,378,217,4,213,114,477
P003,2022-10-09,477,149,3,146,133,490
P003,2022-10-16,490,216,4,212,134,568
P003,2022-10-23,568,266,5,261,214,615
P003,2022-10-30,615,226,5,221,145,691
P003,2022-11-06,691,357,7,350,213,828
P003,2022-11-13,828,335,7,328,262,894
P003,2022-11-20,894,258,5,253,221,926
P003,2022-11-27,926,331,7,324,352,898
P003,2022-12-04,898,241,5,236,328,806
P003,2022-12-11,806,293,6,287,251,842
P003,2022-12-18,842,235,5,230,326,746
P003,2022-12-25,746,329,7,322,234,834
P003,2023-01-01,834,295,6,289,288,835
P003,2023-01-08,835,267,5,262,229,868
P003,2023-01-15,868,269,5,264,324,808
P003,2023-01-22,808,201,4,197,288,717
P003,2023-01-29,717,347,7,340,261,796
P003,2023-02-05,796,326,7,319,264,851
P003,2023-02-12,851,114,2,112,196,767
P003,2023-02-19,767,131,3,128,343,552
P003,2023-02-26,552,86,2,84,319,317
P003,2023-03-05,317,115,2,113,107,323
P003,2023-03-12,323,118,2,116,129,310
P003,2023-03-19,310,95,2,93,83,320
P003,2023-03-26,320,89,2,87,113,294
P003,2023-04-02,294,119,2,117,116,295
P003,2023-04-09,295,92,2,90,93,292
P003,2023-04-16,292,86,2,84,87,289
P003,2023-04-23,289,97,2,95,117,267
P003,2023-04-30,267,85,2,83,90,260
P003,2023-05-07,260,92,2,90,84,266
P003,2023-05-14,266,99,2,97,95,268
P003,2023-05-21,268,132,3,129,69,328
P003,2023-05-28,328,93,2,91,104,315
P003,2023-06-04,315,112,2,110,97,328
P003,2023-06-11,328,128,3,125,130,323
P003,2023-06-18,323,142,3,139,90,372
P003,2023-06-25,372,87,2,85,110,347
P003,2023-07-02,347,119,2,117,126,338
P003,2023-07-09,338,121,2,119,139,318
P003,2023-07-16,318,98,2,96,84,330
P003,2023-07-23,330,120,2,118,117,331
P003,2023-07-30,331,139,3,136,119,348
P003,2023-08-06,348,87,2,85,96,337
P003,2023-08-13,337,85,2,83,118,302
P003,2023-08-20,302,97,2,95,137,260
P003,2023-08-27,260,112,2,110,84,286
P003,2023-09-03,286,126,3,123,83,326
P003,2023-09-10,326,103,2,101,85,342
P003,2023-09-17,342,165,3,162,120,384
P003,2023-09-24,384,136,3,133,124,393
P003,2023-10-01,393,172,3,169,100,462
P003,2023-10-08,462,97,2,95,163,394
P003,2023-10-15,394,292,6,286,133,547
P003,2023-10-22,547,357,7,350,169,728
P003,2023-10-29,728,384,8,376,94,1010
P003,2023-11-05,1010,344,7,337,290,1057
P003,2023-11-12,1057,264,5,259,351,965
P003,2023-11-19,965,330,7,323,377,911
P003,2023-11-26,911,203,4,199,336,774
P003,2023-12-03,774,265,5,260,257,777
P003,2023-12-10,777,365,7,358,325,810
P003,2023-12-17,810,227,5,222,196,836
P003,2023-12-24,836,271,5,266,261,841
P003,2023-12-31,841,479,10,469,360,950
P003,2024-01-07,950,286,6,280,220,1010
P003,2024-01-14,1010,356,7,349,266,1093
P003,2024-01-21,1093,254,5,249,474,868
P003,2024-01-28,868,299,6,293,276,885
P003,2024-02-04,885,209,4,205,350,740
P003,2024-02-11,740,182,4,178,247,671
P003,2024-02-18,671,84,2,82,294,459
P003,2024-02-25,459,117,2,115,203,371
P003,2024-03-03,371,128,3,125,178,318
P003,2024-03-10,318,84,2,82,80,320
P003,2024-03-17,320,156,3,153,115,358
P003,2024-03-24,358,103,2,101,126,333
P003,2024-03-31,333,84,2,82,81,334
P003,2024-04-07,334,121,2,119,154,299
P003,2024-04-14,299,122,2,120,100,319
P003,2024-04-21,319,146,3,143,82,380
P003,2024-04-28,380,160,3,157,119,418
P003,2024-05-05,418,115,2,113,120,411
P003,2024-05-12,411,115,2,113,144,380
P003,2024-05-19,380,177,4,173,157,396
P003,2024-05-26,396,152,3,149,112,433
P003,2024-06-02,433,96,2,94,113,414
P003,2024-06-09,414,158,3,155,175,394
P003,2024-06-16,394,120,2,118,148,364
P003,2024-06-23,364,155,3,152,93,423
P003,2024-06-30,423,166,3,163,156,430
P003,2024-07-07,430,122,2,120,117,433
P003,2024-07-14,433,170,3,167,153,447
P003,2024-07-21,447,133,3,130,163,414
P003,2024-07-28,414,145,3,142,119,437
P003,2024-08-04,437,105,2,103,168,372
P003,2024-08-11,372,200,4,196,130,438
P003,2024-08-18,438,147,3,144,142,440
P003,2024-08-25,440,124,2,122,102,460
P003,2024-09-01,460,111,2,109,198,371
P003,2024-09-08,371,127,3,124,143,352
P003,2024-09-15,352,316,6,310,121,541
P003,2024-09-22,541,271,5,266,109,698
P003,2024-09-29,698,150,3,147,125,720
P003,2024-10-06,720,299,6,293,313,700
P003,2024-10-13,700,224,4,220,265,655
P003,2024-10-20,655,486,10,476,145,986
P003,2024-10-27,986,300,6,294,296,984
P003,2024-11-03,984,346,7,339,218,1105
P003,2024-11-10,1105,410,8,402,482,1025
P003,2024-11-17,1025,397,8,389,290,1124
P003,2024-11-24,1124,384,8,376,340,1160
P003,2024-12-01,1160,329,7,322,403,1079
P003,2024-12-08,1079,332,7,325,389,1015
P003,2024-12-15,1015,129,3,126,376,765
P003,2024-12-22,765,226,5,221,321,665
P003,2024-12-29,665,26,1,25,325,365
P003,2025-01-05,365,282,6,276,122,519
P004,2022-01-02,528,82,2,80,42,566
P004,2022-01-09,566,313,6,307,172,701
P004,2022-01-16,701,246,5,241,188,754
P004,2022-01-23,754,254,5,249,208,795
P004,2022-01-30,795,182,4,178,311,662
P004,2022-02-06,662,343,7,336,240,758
P004,2022-02-13,758,115,2,113,249,622
P004,2022-02-20,622,109,2,107,177,552
P004,2022-02-27,552,59,1,58,339,271
P004,2022-03-06,271,101,2,99,108,262
P004,2022-03-13,262,109,2,107,107,262
P004,2022-03-20,262,65,1,64,57,269
P004,2022-03-27,269,109,2,107,83,293
P004,2022-04-03,293,60,1,59,89,263
P004,2022-04-10,263,99,2,97,98,262
P004,2022-04-17,262,110,2,108,108,262
P004,2022-04-24,262,49,1,48,47,263
P004,2022-05-01,263,85,2,83,84,262
P004,2022-05-08,262,64,1,63,62,263
P004,2022-05-15,263,73,1,72,72,263
P004,2022-05-22,263,104,2,102,92,273
P004,2022-05-29,273,81,2,79,90,262
P004,2022-06-05,262,79,2,77,77,262
P004,2022-06-12,262,110,2,108,108,262
P004,2022-06-19,262,108,2,106,66,302
P004,2022-06-26,302,106,2,104,67,339
P004,2022-07-03,339,123,2,121,92,368
P004,2022-07-10,368,145,3,142,145,365
P004,2022-07-17,365,83,2,81,104,342
P004,2022-07-24,342,128,3,125,121,346
P004,2022-07-31,346,113,2,111,143,314
P004,2022-08-07,314,73,1,72,80,306
P004,2022-08-14,306,102,2,100,126,280
P004,2022-08-21,280,144,3,141,110,311
P004,2022-08-28,311,113,2,111,71,351
P004,2022-09-04,351,87,2,85,101,335
P004,2022-09-11,335,139,3,136,142,329
P004,2022-09-18,329,186,4,182,110,401
P004,2022-09-25,401,203,4,199,85,515
P004,2022-10-02,515,134,3,131,137,509
P004,2022-10-09,509,182,4,178,183,504
P004,2022-10-16,504,331,7,324,199,629
P004,2022-10-23,629,215,4,211,130,710
P004,2022-10-30,710,309,6,303,179,834
P004,2022-11-06,834,256,5,251,327,758
P004,2022-11-13,758,254,5,249,208,799
P004,2022-11-20,799,289,6,283,305,777
P004,2022-11-27,777,219,4,215,250,742
P004,2022-12-04,742,267,5,262,249,755
P004,2022-12-11,755,242,5,237,284,708
P004,2022-12-18,708,222,4,218,213,713
P004,2022-12-25,713,224,4,220,263,670
P004,2023-01-01,670,299,6,293,237,726
P004,2023-01-08,726,194,4,190,217,699
P004,2023-01-15,699,213,4,209,220,688
P004,2023-01-22,688,316,6,310,295,703
P004,2023-01-29,703,265,5,260,188,775
P004,2023-02-05,775,356,7,349,209,915
P004,2023-02-12,915,155,3,152,312,755
P004,2023-02-19,755,136,3,133,259,629
P004,2023-02-26,629,93,2,91,351,369
P004,2023-03-05,369,100,2,98,148,319
P004,2023-03-12,319,91,2,89,133,275
P004,2023-03-19,275,79,2,77,90,262
P004,2023-03-26,262,100,2,98,98,262
P004,2023-04-02,262,95,2,93,89,266
P004,2023-04-09,266,99,2,97,70,293
P004,2023-04-16,293,111,2,109,77,325
P004,2023-04-23,325,103,2,101,121,305
P004,2023-04-30,305,153,3,150,97,358
P004,2023-05-07,358,90,2,88,109,337
P004,2023-05-14,337,206,4,202,101,438
P004,2023-05-21,438,72,1,71,151,358
P004,2023-05-28,358,115,2,113,87,384
P004,2023-06-04,384,110,2,108,204,288
P004,2023-06-11,288,112,2,110,68,330
P004,2023-06-18,330,107,2,105,114,321
P004,2023-06-25,321,110,2,108,108,321
P004,2023-07-02,321,81,2,79,110,290
P004,2023-07-09,290,190,4,186,105,371
P004,2023-07-16,371,136,3,133,108,396
P004,2023-07-23,396,85,2,83,79,400
P004,2023-07-30,400,112,2,110,188,322
P004,2023-08-06,322,91,2,89,132,279
P004,2023-08-13,279,127,3,124,82,321
P004,2023-08-20,321,98,2,96,110,307
P004,2023-08-27,307,134,3,131,89,349
P004,2023-09-03,349,108,2,106,125,330
P004,2023-09-10,330,182,4,178,95,413
P004,2023-09-17,413,161,3,158,132,439
P004,2023-09-24,439,200,4,196,105,530
P004,2023-10-01,530,271,5,266,180,616
P004,2023-10-08,616,126,3,123,157,582
P004,2023-10-15,582,317,6,311,197,696
P004,2023-10-22,696,389,8,381,267,810
P004,2023-10-29,810,350,7,343,121,1032
P004,2023-11-05,1032,211,4,207,314,925
P004,2023-11-12,925,356,7,349,383,891
P004,2023-11-19,891,262,5,257,342,806
P004,2023-11-26,806,419,8,411,204,1013
P004,2023-12-03,1013,279,6,273,352,934
P004,2023-12-10,934,265,5,260,255,939
P004,2023-12-17,939,312,6,306,414,831
P004,2023-12-24,831,329,7,322,271,882
P004,2023-12-31,882,236,5,231,259,854
P004,2024-01-07,854,294,6,288,307,835
P004,2024-01-14,835,323,6,317,323,829
P004,2024-01-21,829,277,6,271,229,871
P004,2024-01-28,871,280,6,274,289,856
P004,2024-02-04,856,405,8,397,317,936
P004,2024-02-11,936,282,6,276,271,941
P004,2024-02-18,941,146,3,143,274,810
P004,2024-02-25,810,141,3,138,399,549
P004,2024-03-03,549,96,2,94,274,369
P004,2024-03-10,369,107,2,105,140,334
P004,2024-03-17,334,96,2,94,138,290
P004,2024-03-24,290,112,2,110,93,307
P004,2024-03-31,307,120,2,118,105,320
P004,2024-04-07,320,119,2,117,94,343
P004,2024-04-14,343,84,2,82,110,315
P004,2024-04-21,315,171,3,168,118,365
P004,2024-04-28,365,152,3,149,117,397
P004,2024-05-05,397,139,3,136,82,451
P004,2024-05-12,451,124,2,122,169,404
P004,2024-05-19,404,135,3,132,149,387
P004,2024-05-26,387,112,2,110,136,361
P004,2024-06-02,361,161,3,158,121,398
P004,2024-06-09,398,93,2,91,133,356
P004,2024-06-16,356,147,3,144,109,391
P004,2024-06-23,391,151,3,148,159,380
P004,2024-06-30,380,141,3,138,90,428
P004,2024-07-07,428,169,3,166,145,449
P004,2024-07-14,449,135,3,132,148,433
P004,2024-07-21,433,101,2,99,138,394
P004,2024-07-28,394,105,2,103,166,331
P004,2024-08-04,331,119,2,117,132,316
P004,2024-08-11,316,232,5,227,98,445
P004,2024-08-18,445,186,4,182,103,524
P004,2024-08-25,524,149,3,146,117,553
P004,2024-09-01,553,159,3,156,230,479
P004,2024-09-08,479,139,3,136,181,434
P004,2024-09-15,434,288,6,282,145,571
P004,2024-09-22,571,251,5,246,156,661
P004,2024-09-29,661,198,4,194,136,719
P004,2024-10-06,719,366,7,359,285,793
P004,2024-10-13,793,302,6,296,245,844
P004,2024-10-20,844,333,7,326,193,977
P004,2024-10-27,977,290,6,284,362,899
P004,2024-11-03,899,336,7,329,295,933
P004,2024-11-10,933,353,7,346,327,952
P004,2024-11-17,952,339,7,332,283,1001
P004,2024-11-24,1001,366,7,359,330,1030
