PO_ID,PO_Date,SupplierID,SupplierName,MaterialID,MaterialName,Category,UnitOfMeasure,OrderQuantity,UnitCost_INR,BaseCost_INR,GST_Rate_Percent,GST_Amount_INR,FreightCost_INR,TotalPOValue_INR,PromisedLeadTimeDays,ExpectedDeliveryDate,ActualDeliveryDate,DelayDays,DeliveryStatus,PaymentTermsDays
PO-2018-0022,2018-12-05,SUP001,Madhya Herbs Pvt Ltd,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,86.8,182.07,15803.68,5,790.18,982.23,17576.09,20,2018-12-25,2018-12-25,0,On-Time,30
PO-2018-0023,2018-12-13,SUP001,Madhya Herbs Pvt Ltd,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,67.9,140.5,9539.95,5,477.0,838.13,10855.08,18,2018-12-31,2018-12-31,0,On-Time,30
PO-2018-0024,2018-12-14,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,30.1,82.49,2482.95,18,446.93,1088.59,4018.47,11,2018-12-25,2018-12-24,-1,Early,60
PO-2018-0025,2018-12-14,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,51.6,157.06,8104.3,5,405.21,805.75,9315.26,19,2019-01-02,2019-01-02,0,On-Time,30
PO-2018-0026,2018-12-21,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,1860.0,4.27,7942.2,18,1429.6,376.22,9748.02,9,2018-12-30,2018-12-30,0,On-Time,15
PO-2018-0027,2018-12-30,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,2575.0,0.94,2420.5,18,435.69,349.57,3205.76,8,2019-01-07,2019-01-06,-1,Early,15
PO-2019-0001,2019-01-02,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,61.1,154.05,9412.46,5,470.62,773.85,10656.93,22,2019-01-24,2019-01-24,0,On-Time,30
PO-2019-0002,2019-01-03,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,13.2,201.22,2656.1,18,478.1,859.46,3993.66,11,2019-01-14,2019-01-15,1,Delayed,60
PO-2019-0003,2019-01-10,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,2102.0,3.32,6978.64,18,1256.16,572.61,8807.41,9,2019-01-19,2019-01-19,0,On-Time,15
PO-2019-0004,2019-01-28,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,375.0,23.24,8715.0,18,1568.7,694.36,10978.06,9,2019-02-06,2019-02-06,0,On-Time,15
PO-2019-0005,2019-02-08,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,3056.0,4.35,13293.6,18,2392.85,510.08,16196.53,9,2019-02-17,2019-02-17,0,On-Time,15
PO-2019-0006,2019-02-16,SUP003,Himalayan Herb Extracts,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,19.7,1004.34,19785.5,12,2374.26,1448.87,23608.63,14,2019-03-02,2019-03-01,-1,Early,45
PO-2019-0007,2019-02-18,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,3745.0,0.97,3632.65,18,653.88,368.88,4655.41,7,2019-02-25,2019-02-25,0,On-Time,15
PO-2019-0008,2019-02-28,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,13.0,1494.65,19430.45,12,2331.65,930.76,22692.86,12,2019-03-12,2019-03-12,0,On-Time,45
PO-2019-0009,2019-03-01,SUP001,Madhya Herbs Pvt Ltd,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,119.7,194.74,23310.38,5,1165.52,1105.12,25581.02,27,2019-03-28,2019-03-28,0,On-Time,30
PO-2019-0010,2019-03-08,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,2666.0,3.34,8904.44,18,1602.8,649.38,11156.62,10,2019-03-18,2019-03-18,0,On-Time,15
PO-2019-0011,2019-03-09,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,57.7,116.4,6716.28,18,1208.93,1355.6,9280.81,14,2019-03-23,2019-03-23,0,On-Time,60
PO-2019-0012,2019-03-12,SUP003,Himalayan Herb Extracts,RM009,Triphala Extract,Herbal Extracts,kg,10.5,848.26,8906.73,12,1068.81,1305.18,11280.72,19,2019-03-31,2019-04-09,9,Delayed,45
PO-2019-0013,2019-03-15,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,2773.0,4.42,12256.66,18,2206.2,471.14,14934.0,9,2019-03-24,2019-03-24,0,On-Time,15
PO-2019-0014,2019-03-15,SUP001,Madhya Herbs Pvt Ltd,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,109.7,154.08,16902.58,5,845.13,1122.29,18870.0,23,2019-04-07,2019-04-07,0,On-Time,30
PO-2019-0015,2019-03-16,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,66.6,169.64,11298.02,5,564.9,810.19,12673.11,23,2019-04-08,2019-04-08,0,On-Time,30
PO-2019-0016,2019-03-18,SUP004,Girnar Ayur Ingredients,RM007,Shatavari Extract,Herbal Extracts,kg,8.7,892.11,7761.36,12,931.36,863.75,9556.47,17,2019-04-04,2019-04-04,0,On-Time,45
PO-2019-0017,2019-03-19,SUP006,Capsico Gelatin & Capsules,RM013,"Gelatin Capsules (Size 00, '000s)",Capsules,'000 units,12.0,346.84,4162.08,12,499.45,860.13,5521.66,15,2019-04-03,2019-04-03,0,On-Time,45
PO-2019-0018,2019-03-21,SUP003,Himalayan Herb Extracts,RM006,Brahmi Extract,Herbal Extracts,kg,9.3,934.66,8692.34,12,1043.08,1410.55,11145.97,22,2019-04-12,2019-04-12,0,On-Time,45
PO-2019-0019,2019-03-24,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,72.8,156.18,11369.9,5,568.5,919.67,12858.07,28,2019-04-21,2019-04-21,0,On-Time,30
PO-2019-0020,2019-03-28,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,452.0,22.92,10359.84,18,1864.77,764.0,12988.61,7,2019-04-04,2019-04-04,0,On-Time,15
PO-2019-0021,2019-03-28,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,42.3,86.78,3670.79,18,660.74,1229.33,5560.86,10,2019-04-07,2019-04-07,0,On-Time,60
PO-2019-0022,2019-03-31,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,3607.0,0.92,3318.44,18,597.32,379.56,4295.32,8,2019-04-08,2019-04-08,0,On-Time,15
PO-2019-0023,2019-04-11,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,13.9,194.58,2704.66,18,486.84,950.17,4141.67,11,2019-04-22,2019-04-22,0,On-Time,60
PO-2019-0024,2019-04-18,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,2264.0,3.21,7267.44,18,1308.14,588.38,9163.96,8,2019-04-26,2019-04-26,0,On-Time,15
PO-2019-0025,2019-04-22,SUP001,Madhya Herbs Pvt Ltd,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,103.0,185.52,19108.56,5,955.43,1076.07,21140.06,26,2019-05-18,2019-05-21,3,Delayed,30
PO-2019-0026,2019-04-23,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,2821.0,4.51,12722.71,18,2290.09,465.38,15478.18,8,2019-05-01,2019-05-01,0,On-Time,15
PO-2019-0027,2019-05-01,SUP003,Himalayan Herb Extracts,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,18.4,1043.49,19200.22,12,2304.03,1351.03,22855.28,20,2019-05-21,2019-05-21,0,On-Time,45
PO-2019-0028,2019-05-08,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,14.6,1551.86,22657.16,12,2718.86,989.51,26365.53,18,2019-05-26,2019-05-26,0,On-Time,45
PO-2019-0029,2019-05-12,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,480.0,23.83,11438.4,18,2058.91,808.55,14305.86,9,2019-05-21,2019-05-22,1,Delayed,15
PO-2019-0030,2019-05-13,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,4476.0,0.98,4386.48,18,789.57,351.53,5527.58,6,2019-05-19,2019-05-19,0,On-Time,15
PO-2019-0031,2019-05-17,SUP001,Madhya Herbs Pvt Ltd,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,115.4,145.9,16836.86,5,841.84,1066.32,18745.02,22,2019-06-08,2019-06-08,0,On-Time,30
PO-2019-0032,2019-05-18,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,72.8,175.97,12810.62,5,640.53,930.46,14381.61,26,2019-06-13,2019-06-18,5,Delayed,30
PO-2019-0033,2019-05-18,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,57.2,119.24,6820.53,18,1227.7,1381.1,9429.33,14,2019-06-01,2019-06-01,0,On-Time,60
PO-2019-0034,2019-05-20,SUP006,Capsico Gelatin & Capsules,RM013,"Gelatin Capsules (Size 00, '000s)",Capsules,'000 units,12.0,341.53,4098.36,12,491.8,906.35,5496.51,16,2019-06-05,2019-06-05,0,On-Time,45
PO-2019-0035,2019-06-01,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,83.2,162.08,13485.06,5,674.25,939.59,15098.9,34,2019-07-05,2019-07-04,-1,Early,30
PO-2019-0036,2019-06-01,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,55.3,93.63,5177.74,18,931.99,1250.85,7360.58,9,2019-06-10,2019-06-10,0,On-Time,60
PO-2019-0037,2019-06-03,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,3431.0,4.37,14993.47,18,2698.82,462.5,18154.79,6,2019-06-09,2019-06-09,0,On-Time,15
PO-2019-0038,2019-06-08,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,3222.0,3.25,10471.5,18,1884.87,735.18,13091.55,10,2019-06-18,2019-06-18,0,On-Time,15
PO-2019-0039,2019-06-11,SUP003,Himalayan Herb Extracts,RM009,Triphala Extract,Herbal Extracts,kg,12.4,823.56,10212.14,12,1225.46,1291.19,12728.79,22,2019-07-03,2019-07-15,12,Delayed,45
PO-2019-0040,2019-06-12,SUP003,Himalayan Herb Extracts,RM006,Brahmi Extract,Herbal Extracts,kg,10.5,917.65,9635.32,12,1156.24,1275.41,12066.97,20,2019-07-02,2019-07-02,0,On-Time,45
PO-2019-0041,2019-06-16,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,4554.0,0.99,4508.46,18,811.52,363.67,5683.65,8,2019-06-24,2019-06-24,0,On-Time,15
PO-2019-0042,2019-06-17,SUP004,Girnar Ayur Ingredients,RM007,Shatavari Extract,Herbal Extracts,kg,9.8,839.26,8224.75,12,986.97,937.09,10148.81,19,2019-07-06,2019-07-06,0,On-Time,45
PO-2019-0043,2019-06-17,SUP001,Madhya Herbs Pvt Ltd,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,132.9,185.15,24606.44,5,1230.32,1194.77,27031.53,32,2019-07-19,2019-07-19,0,On-Time,30
PO-2019-0044,2019-06-25,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,503.0,23.96,12051.88,18,2169.34,796.88,15018.1,9,2019-07-04,2019-07-04,0,On-Time,15
PO-2019-0045,2019-07-01,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,21.8,194.99,4250.78,18,765.14,977.8,5993.72,10,2019-07-11,2019-07-11,0,On-Time,60
PO-2019-0046,2019-07-02,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,4089.0,4.57,18686.73,18,3363.61,515.95,22566.29,10,2019-07-12,2019-07-12,0,On-Time,15
PO-2019-0047,2019-07-06,SUP001,Madhya Herbs Pvt Ltd,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,150.6,142.55,21468.03,5,1073.4,1256.75,23798.18,31,2019-08-06,2019-08-05,-1,Early,30
PO-2019-0048,2019-07-13,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,4032.0,3.2,12902.4,18,2322.43,867.32,16092.15,10,2019-07-23,2019-07-23,0,On-Time,15
PO-2019-0049,2019-07-17,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,93.7,117.05,10967.59,18,1974.17,1505.66,14447.42,10,2019-07-27,2019-07-31,4,Delayed,60
PO-2019-0050,2019-07-19,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,6051.0,0.96,5808.96,18,1045.61,360.76,7215.33,8,2019-07-27,2019-07-27,0,On-Time,15
PO-2019-0051,2019-07-19,SUP003,Himalayan Herb Extracts,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,32.1,969.89,31133.47,12,3736.02,1759.95,36629.44,29,2019-08-17,2019-08-25,8,Delayed,45
PO-2019-0052,2019-07-20,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,112.3,157.45,17681.63,5,884.08,1144.06,19709.77,32,2019-08-21,2019-08-21,0,On-Time,30
PO-2019-0053,2019-07-21,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,24.1,1502.7,36215.07,12,4345.81,1064.42,41625.3,25,2019-08-15,2019-08-15,0,On-Time,45
PO-2019-0054,2019-07-22,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,102.7,173.92,17861.58,5,893.08,1057.96,19812.62,31,2019-08-22,2019-09-03,12,Delayed,30
PO-2019-0055,2019-07-22,SUP006,Capsico Gelatin & Capsules,RM013,"Gelatin Capsules (Size 00, '000s)",Capsules,'000 units,18.0,330.45,5948.1,12,713.77,967.15,7629.02,17,2019-08-08,2019-08-08,0,On-Time,45
PO-2019-0056,2019-07-26,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,4255.0,4.55,19360.25,18,3484.84,511.25,23356.34,9,2019-08-04,2019-08-04,0,On-Time,15
PO-2019-0057,2019-08-02,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,70.2,89.96,6315.19,18,1136.73,1461.51,8913.43,9,2019-08-11,2019-08-11,0,On-Time,60
PO-2019-0058,2019-08-03,SUP001,Madhya Herbs Pvt Ltd,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,192.5,195.87,37704.97,5,1885.25,1579.83,41170.05,33,2019-09-05,2019-09-05,0,On-Time,30
PO-2019-0059,2019-08-05,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,735.0,22.43,16486.05,18,2967.49,1143.22,20596.76,10,2019-08-15,2019-08-15,0,On-Time,15
PO-2019-0060,2019-08-09,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,6200.0,0.96,5952.0,18,1071.36,392.91,7416.27,5,2019-08-14,2019-08-14,0,On-Time,15
PO-2019-0061,2019-08-13,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,4372.0,3.38,14777.36,18,2659.92,911.49,18348.77,9,2019-08-22,2019-08-22,0,On-Time,15
PO-2019-0062,2019-08-14,SUP002,Vindhya Botanicals,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,172.1,154.32,26558.47,5,1327.92,1332.39,29218.78,29,2019-09-12,2019-09-12,0,On-Time,30
PO-2019-0063,2019-08-18,SUP003,Himalayan Herb Extracts,RM009,Triphala Extract,Herbal Extracts,kg,17.0,801.87,13631.79,12,1635.81,1497.44,16765.04,20,2019-09-07,2019-09-07,0,On-Time,45
PO-2019-0064,2019-08-19,SUP003,Himalayan Herb Extracts,RM006,Brahmi Extract,Herbal Extracts,kg,15.2,941.15,14305.48,12,1716.66,1515.27,17537.41,20,2019-09-08,2019-09-08,0,On-Time,45
PO-2019-0065,2019-08-19,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,25.7,194.59,5000.96,18,900.17,1040.57,6941.7,12,2019-08-31,2019-08-31,0,On-Time,60
PO-2019-0066,2019-08-20,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,4541.0,4.46,20252.86,18,3645.51,593.01,24491.38,8,2019-08-28,2019-08-28,0,On-Time,15
PO-2019-0067,2019-08-28,SUP004,Girnar Ayur Ingredients,RM007,Shatavari Extract,Herbal Extracts,kg,15.1,880.17,13290.57,12,1594.87,971.33,15856.77,20,2019-09-17,2019-09-18,1,Delayed,45
PO-2019-0068,2019-09-01,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,135.7,163.61,22201.88,5,1110.09,1232.86,24544.83,33,2019-10-04,2019-10-04,0,On-Time,30
PO-2019-0069,2019-09-03,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,135.4,160.5,21731.7,5,1086.59,1116.29,23934.58,33,2019-10-06,2019-10-06,0,On-Time,30
PO-2019-0070,2019-09-03,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,101.0,115.47,11662.47,18,2099.24,1774.16,15535.87,10,2019-09-13,2019-09-13,0,On-Time,60
PO-2019-0071,2019-09-03,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,7148.0,0.92,6576.16,18,1183.71,427.17,8187.04,7,2019-09-10,2019-09-10,0,On-Time,15
PO-2019-0072,2019-09-05,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,836.0,23.03,19253.08,18,3465.55,1208.12,23926.75,9,2019-09-14,2019-09-13,-1,Early,15
PO-2019-0073,2019-09-07,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,4462.0,3.31,14769.22,18,2658.46,876.48,18304.16,8,2019-09-15,2019-09-15,0,On-Time,15
PO-2019-0074,2019-09-07,SUP006,Capsico Gelatin & Capsules,RM013,"Gelatin Capsules (Size 00, '000s)",Capsules,'000 units,21.0,340.36,7147.56,12,857.71,983.91,8989.18,14,2019-09-21,2019-09-21,0,On-Time,45
PO-2019-0075,2019-09-08,SUP003,Himalayan Herb Extracts,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,34.8,1008.87,35108.68,12,4213.04,1779.32,41101.04,28,2019-10-06,2019-10-06,0,On-Time,45
PO-2019-0076,2019-09-10,SUP002,Vindhya Botanicals,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,195.3,195.18,38118.65,5,1905.93,1560.91,41585.49,34,2019-10-14,2019-10-14,0,On-Time,30
PO-2019-0077,2019-09-14,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,5585.0,4.44,24797.4,18,4463.53,637.83,29898.76,10,2019-09-24,2019-09-24,0,On-Time,15
PO-2019-0078,2019-09-14,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,26.2,1577.26,41324.21,12,4958.91,1012.69,47295.81,27,2019-10-11,2019-10-09,-2,Early,45
PO-2019-0079,2019-09-15,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,80.2,86.56,6942.11,18,1249.58,1522.87,9714.56,9,2019-09-24,2019-09-24,0,On-Time,60
PO-2019-0080,2019-09-18,SUP001,Madhya Herbs Pvt Ltd,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,174.3,144.1,25116.63,5,1255.83,1478.36,27850.82,29,2019-10-17,2019-10-17,0,On-Time,30
PO-2019-0081,2019-09-22,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,7092.0,0.97,6879.24,18,1238.26,420.23,8537.73,6,2019-09-28,2019-09-28,0,On-Time,15
PO-2019-0082,2019-09-29,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,4948.0,3.23,15982.04,18,2876.77,931.2,19790.01,9,2019-10-08,2019-10-08,0,On-Time,15
PO-2019-0083,2019-10-01,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,35.3,205.04,7237.91,18,1302.82,1150.4,9691.13,10,2019-10-11,2019-10-11,0,On-Time,60
PO-2019-0084,2019-10-01,SUP003,Himalayan Herb Extracts,RM009,Triphala Extract,Herbal Extracts,kg,22.8,824.05,18788.34,12,2254.6,1516.39,22559.33,19,2019-10-20,2019-10-20,0,On-Time,45
PO-2019-0085,2019-10-03,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,6188.0,4.33,26794.04,18,4822.93,633.57,32250.54,8,2019-10-11,2019-10-11,0,On-Time,15
PO-2019-0086,2019-10-03,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,977.0,23.82,23272.14,18,4188.99,1447.56,28908.69,8,2019-10-11,2019-10-11,0,On-Time,15
PO-2019-0087,2019-10-06,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,173.5,164.43,28528.6,5,1426.43,1507.02,31462.05,21,2019-10-27,2019-10-27,0,On-Time,30
PO-2019-0088,2019-10-09,SUP002,Vindhya Botanicals,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,258.4,193.37,49966.81,5,2498.34,1837.22,54302.37,20,2019-10-29,2019-10-29,0,On-Time,30
PO-2019-0089,2019-10-12,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,124.4,112.26,13965.14,18,2513.73,1767.47,18246.34,11,2019-10-23,2019-10-23,0,On-Time,60
PO-2019-0090,2019-10-12,SUP003,Himalayan Herb Extracts,RM006,Brahmi Extract,Herbal Extracts,kg,22.4,906.58,20307.39,12,2436.89,1499.99,24244.27,20,2019-11-01,2019-11-01,0,On-Time,45
PO-2019-0091,2019-10-13,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,176.9,158.33,28008.58,5,1400.43,1482.97,30891.98,23,2019-11-05,2019-11-05,0,On-Time,30
PO-2019-0092,2019-10-13,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,9333.0,0.96,8959.68,18,1612.74,427.92,11000.34,8,2019-10-21,2019-10-23,2,Delayed,15
