BatchID,ProductID,ProductionWeekEnd,QuantityProduced,RejectQty,GoodQty,RawMaterialCost,LaborCost,OverheadCost,TotalProductionCost,UnitProductionCost
B000093,P001,2023-11-05,105,2,103,3423.0,513.45,342.3,4278.75,40.75
B000094,P001,2023-11-12,63,1,62,2053.8,308.07,205.38,2567.25,40.75
B000095,P001,2023-11-19,132,3,129,4303.2,645.48,430.32,5379.0,40.75
B000096,P001,2023-11-26,105,2,103,3423.0,513.45,342.3,4278.75,40.75
B000097,P001,2023-12-03,83,2,81,2705.8,405.87,270.58,3382.25,40.75
B000098,P001,2023-12-10,115,2,113,3749.0,562.35,374.9,4686.25,40.75
B000099,P001,2023-12-17,70,1,69,2282.0,342.3,228.2,2852.5,40.75
B000100,P001,2023-12-24,156,3,153,5085.6,762.84,508.56,6357.0,40.75
B000101,P001,2023-12-31,103,2,101,3357.8,503.67,335.78,4197.25,40.75
B000102,P001,2024-01-07,96,2,94,3129.6,469.44,312.96,3912.0,40.75
B000103,P001,2024-01-14,102,2,100,3325.2,498.78,332.52,4156.5,40.75
B000104,P001,2024-01-21,102,2,100,3325.2,498.78,332.52,4156.5,40.75
B000105,P001,2024-01-28,96,2,94,3129.6,469.44,312.96,3912.0,40.75
B000106,P001,2024-02-04,85,2,83,2771.0,415.65,277.1,3463.75,40.75
B000107,P001,2024-02-11,100,2,98,3260.0,489.0,326.0,4075.0,40.75
B000108,P001,2024-02-18,264,5,259,8606.4,1290.96,860.64,10758.0,40.75
B000109,P001,2024-02-25,167,3,164,5444.2,816.63,544.42,6805.25,40.75
B000110,P001,2024-03-03,145,3,142,4727.0,709.05,472.7,5908.75,40.75
B000111,P001,2024-03-10,159,3,156,5183.4,777.51,518.34,6479.25,40.75
B000112,P001,2024-03-17,192,4,188,6259.2,938.88,625.92,7824.0,40.75
B000113,P001,2024-03-24,230,5,225,7498.0,1124.7,749.8,9372.5,40.75
B000114,P001,2024-03-31,164,3,161,5346.4,801.96,534.64,6683.0,40.75
B000115,P001,2024-04-07,215,4,211,7009.0,1051.35,700.9,8761.25,40.75
B000116,P001,2024-04-14,173,3,170,5639.8,845.97,563.98,7049.75,40.75
B000117,P001,2024-04-21,203,4,199,6617.8,992.67,661.78,8272.25,40.75
B000118,P001,2024-04-28,163,3,160,5313.8,797.07,531.38,6642.25,40.75
B000119,P001,2024-05-05,143,3,140,4661.8,699.27,466.18,5827.25,40.75
B000120,P001,2024-05-12,217,4,213,7074.2,1061.13,707.42,8842.75,40.75
B000121,P001,2024-05-19,362,7,355,11801.2,1770.18,1180.12,14751.5,40.75
B000122,P001,2024-05-26,457,9,448,14898.2,2234.73,1489.82,18622.75,40.75
B000123,P001,2024-06-02,355,7,348,11573.0,1735.95,1157.3,14466.25,40.75
B000124,P001,2024-06-09,274,5,269,8932.4,1339.86,893.24,11165.5,40.75
B000125,P001,2024-06-16,526,11,515,17147.6,2572.14,1714.76,21434.5,40.75
B000126,P001,2024-06-23,306,6,300,9975.6,1496.34,997.56,12469.5,40.75
B000127,P001,2024-06-30,308,6,302,10040.8,1506.12,1004.08,12551.0,40.75
B000128,P001,2024-07-07,281,6,275,9160.6,1374.09,916.06,11450.75,40.75
B000129,P001,2024-07-14,364,7,357,11866.4,1779.96,1186.64,14833.0,40.75
B000130,P001,2024-07-21,333,7,326,10855.8,1628.37,1085.58,13569.75,40.75
B000131,P001,2024-07-28,393,8,385,12811.8,1921.77,1281.18,16014.75,40.75
B000132,P001,2024-08-04,415,8,407,13529.0,2029.35,1352.9,16911.25,40.75
B000133,P001,2024-08-11,488,10,478,15908.8,2386.32,1590.88,19886.0,40.75
B000134,P001,2024-08-18,222,4,218,7237.2,1085.58,723.72,9046.5,40.75
B000135,P001,2024-08-25,453,9,444,14767.8,2215.17,1476.78,18459.75,40.75
B000136,P001,2024-09-01,440,9,431,14344.0,2151.6,1434.4,17930.0,40.75
B000137,P001,2024-09-08,425,8,417,13855.0,2078.25,1385.5,17318.75,40.75
B000138,P001,2024-09-15,262,5,257,8541.2,1281.18,854.12,10676.5,40.75
B000139,P001,2024-09-22,190,4,186,6194.0,929.1,619.4,7742.5,40.75
B000140,P001,2024-09-29,133,3,130,4335.8,650.37,433.58,5419.75,40.75
B000141,P001,2024-10-06,247,5,242,8052.2,1207.83,805.22,10065.25,40.75
B000142,P001,2024-10-13,171,3,168,5574.6,836.19,557.46,6968.25,40.75
B000143,P001,2024-10-20,125,2,123,4075.0,611.25,407.5,5093.75,40.75
B000144,P001,2024-10-27,107,2,105,3488.2,523.23,348.82,4360.25,40.75
B000145,P001,2024-11-03,83,2,81,2705.8,405.87,270.58,3382.25,40.75
B000146,P001,2024-11-10,129,3,126,4205.4,630.81,420.54,5256.75,40.75
B000147,P001,2024-11-17,114,2,112,3716.4,557.46,371.64,4645.5,40.75
B000148,P001,2024-11-24,98,2,96,3194.8,479.22,319.48,3993.5,40.75
B000149,P001,2024-12-01,168,3,165,5476.8,821.52,547.68,6846.0,40.75
B000150,P001,2024-12-08,120,2,118,3912.0,586.8,391.2,4890.0,40.75
B000151,P001,2024-12-15,37,1,36,1206.2,180.93,120.62,1507.75,40.75
B000152,P001,2024-12-22,143,3,140,4661.8,699.27,466.18,5827.25,40.75
B000153,P001,2024-12-29,120,2,118,3912.0,586.8,391.2,4890.0,40.75
B000154,P001,2025-01-05,330,7,323,10758.0,1613.7,1075.8,13447.5,40.75
B000155,P002,2022-02-06,60,1,59,2184.0,327.6,218.4,2730.0,45.5
B000156,P002,2022-02-13,71,1,70,2584.4,387.66,258.44,3230.5,45.5
B000157,P002,2022-02-20,145,3,142,5278.0,791.7,527.8,6597.5,45.5
B000158,P002,2022-02-27,132,3,129,4804.8,720.72,480.48,6006.0,45.5
B000159,P002,2022-03-06,114,2,112,4149.6,622.44,414.96,5187.0,45.5
B000160,P002,2022-03-13,120,2,118,4368.0,655.2,436.8,5460.0,45.5
B000161,P002,2022-03-20,171,3,168,6224.4,933.66,622.44,7780.5,45.5
B000162,P002,2022-03-27,153,3,150,5569.2,835.38,556.92,6961.5,45.5
B000163,P002,2022-04-03,103,2,101,3749.2,562.38,374.92,4686.5,45.5
B000164,P002,2022-04-10,146,3,143,5314.4,797.16,531.44,6643.0,45.5
B000165,P002,2022-04-17,112,2,110,4076.8,611.52,407.68,5096.0,45.5
B000166,P002,2022-04-24,131,3,128,4768.4,715.26,476.84,5960.5,45.5
B000167,P002,2022-05-01,128,3,125,4659.2,698.88,465.92,5824.0,45.5
B000168,P002,2022-05-08,133,3,130,4841.2,726.18,484.12,6051.5,45.5
B000169,P002,2022-05-15,247,5,242,8990.8,1348.62,899.08,11238.5,45.5
B000170,P002,2022-05-22,233,5,228,8481.2,1272.18,848.12,10601.5,45.5
B000171,P002,2022-05-29,266,5,261,9682.4,1452.36,968.24,12103.0,45.5
B000172,P002,2022-06-05,392,8,384,14268.8,2140.32,1426.88,17836.0,45.5
B000173,P002,2022-06-12,287,6,281,10446.8,1567.02,1044.68,13058.5,45.5
B000174,P002,2022-06-19,313,6,307,11393.2,1708.98,1139.32,14241.5,45.5
B000175,P002,2022-06-26,272,5,267,9900.8,1485.12,990.08,12376.0,45.5
B000176,P002,2022-07-03,288,6,282,10483.2,1572.48,1048.32,13104.0,45.5
B000177,P002,2022-07-10,348,7,341,12667.2,1900.08,1266.72,15834.0,45.5
B000178,P002,2022-07-17,300,6,294,10920.0,1638.0,1092.0,13650.0,45.5
B000179,P002,2022-07-24,317,6,311,11538.8,1730.82,1153.88,14423.5,45.5
B000180,P002,2022-07-31,264,5,259,9609.6,1441.44,960.96,12012.0,45.5
B000181,P002,2022-08-07,299,6,293,10883.6,1632.54,1088.36,13604.5,45.5
B000182,P002,2022-08-14,344,7,337,12521.6,1878.24,1252.16,15652.0,45.5
B000183,P002,2022-08-21,222,4,218,8080.8,1212.12,808.08,10101.0,45.5
B000184,P002,2022-08-28,199,4,195,7243.6,1086.54,724.36,9054.5,45.5
B000185,P002,2022-09-04,217,4,213,7898.8,1184.82,789.88,9873.5,45.5
B000186,P002,2022-09-11,248,5,243,9027.2,1354.08,902.72,11284.0,45.5
B000187,P002,2022-09-18,186,4,182,6770.4,1015.56,677.04,8463.0,45.5
B000188,P002,2022-09-25,164,3,161,5969.6,895.44,596.96,7462.0,45.5
B000189,P002,2022-10-02,212,4,208,7716.8,1157.52,771.68,9646.0,45.5
B000190,P002,2022-10-09,96,2,94,3494.4,524.16,349.44,4368.0,45.5
B000191,P002,2022-10-16,70,1,69,2548.0,382.2,254.8,3185.0,45.5
B000192,P002,2022-10-23,127,3,124,4622.8,693.42,462.28,5778.5,45.5
B000193,P002,2022-10-30,95,2,93,3458.0,518.7,345.8,4322.5,45.5
B000194,P002,2022-11-06,84,2,82,3057.6,458.64,305.76,3822.0,45.5
B000195,P002,2022-11-13,96,2,94,3494.4,524.16,349.44,4368.0,45.5
B000196,P002,2022-11-20,81,2,79,2948.4,442.26,294.84,3685.5,45.5
B000197,P002,2022-11-27,115,2,113,4186.0,627.9,418.6,5232.5,45.5
B000198,P002,2022-12-04,70,1,69,2548.0,382.2,254.8,3185.0,45.5
B000199,P002,2022-12-11,75,2,73,2730.0,409.5,273.0,3412.5,45.5
B000200,P002,2022-12-18,109,2,107,3967.6,595.14,396.76,4959.5,45.5
B000201,P002,2022-12-25,68,1,67,2475.2,371.28,247.52,3094.0,45.5
B000202,P002,2023-01-01,102,2,100,3712.8,556.92,371.28,4641.0,45.5
B000203,P002,2023-01-08,86,2,84,3130.4,469.56,313.04,3913.0,45.5
B000204,P002,2023-01-15,97,2,95,3530.8,529.62,353.08,4413.5,45.5
B000205,P002,2023-01-22,79,2,77,2875.6,431.34,287.56,3594.5,45.5
B000206,P002,2023-01-29,94,2,92,3421.6,513.24,342.16,4277.0,45.5
B000207,P002,2023-02-05,72,1,71,2620.8,393.12,262.08,3276.0,45.5
B000208,P002,2023-02-12,93,2,91,3385.2,507.78,338.52,4231.5,45.5
B000209,P002,2023-02-19,91,2,89,3312.4,496.86,331.24,4140.5,45.5
B000210,P002,2023-02-26,131,3,128,4768.4,715.26,476.84,5960.5,45.5
B000211,P002,2023-03-05,169,3,166,6151.6,922.74,615.16,7689.5,45.5
B000212,P002,2023-03-12,159,3,156,5787.6,868.14,578.76,7234.5,45.5
B000213,P002,2023-03-19,139,3,136,5059.6,758.94,505.96,6324.5,45.5
B000214,P002,2023-03-26,141,3,138,5132.4,769.86,513.24,6415.5,45.5
B000215,P002,2023-04-02,182,4,178,6624.8,993.72,662.48,8281.0,45.5
B000216,P002,2023-04-09,162,3,159,5896.8,884.52,589.68,7371.0,45.5
B000217,P002,2023-04-16,130,3,127,4732.0,709.8,473.2,5915.0,45.5
B000218,P002,2023-04-23,154,3,151,5605.6,840.84,560.56,7007.0,45.5
B000219,P002,2023-04-30,180,4,176,6552.0,982.8,655.2,8190.0,45.5
B000220,P002,2023-05-07,179,4,175,6515.6,977.34,651.56,8144.5,45.5
B000221,P002,2023-05-14,317,6,311,11538.8,1730.82,1153.88,14423.5,45.5
B000222,P002,2023-05-21,229,5,224,8335.6,1250.34,833.56,10419.5,45.5
B000223,P002,2023-05-28,344,7,337,12521.6,1878.24,1252.16,15652.0,45.5
B000224,P002,2023-06-04,367,7,360,13358.8,2003.82,1335.88,16698.5,45.5
B000225,P002,2023-06-11,339,7,332,12339.6,1850.94,1233.96,15424.5,45.5
B000226,P002,2023-06-18,355,7,348,12922.0,1938.3,1292.2,16152.5,45.5
B000227,P002,2023-06-25,412,8,404,14996.8,2249.52,1499.68,18746.0,45.5
B000228,P002,2023-07-02,282,6,276,10264.8,1539.72,1026.48,12831.0,45.5
B000229,P002,2023-07-09,366,7,359,13322.4,1998.36,1332.24,16653.0,45.5
B000230,P002,2023-07-16,270,5,265,9828.0,1474.2,982.8,12285.0,45.5
B000231,P002,2023-07-23,437,9,428,15906.8,2386.02,1590.68,19883.5,45.5
B000232,P002,2023-07-30,313,6,307,11393.2,1708.98,1139.32,14241.5,45.5
B000233,P002,2023-08-06,255,5,250,9282.0,1392.3,928.2,11602.5,45.5
B000234,P002,2023-08-13,337,7,330,12266.8,1840.02,1226.68,15333.5,45.5
B000235,P002,2023-08-20,310,6,304,11284.0,1692.6,1128.4,14105.0,45.5
B000236,P002,2023-08-27,447,9,438,16270.8,2440.62,1627.08,20338.5,45.5
B000237,P002,2023-09-03,317,6,311,11538.8,1730.82,1153.88,14423.5,45.5
B000238,P002,2023-09-10,377,8,369,13722.8,2058.42,1372.28,17153.5,45.5
B000239,P002,2023-09-17,106,2,104,3858.4,578.76,385.84,4823.0,45.5
B000240,P002,2023-09-24,114,2,112,4149.6,622.44,414.96,5187.0,45.5
B000241,P002,2023-10-01,227,5,222,8262.8,1239.42,826.28,10328.5,45.5
B000242,P002,2023-10-08,167,3,164,6078.8,911.82,607.88,7598.5,45.5
B000243,P002,2023-10-15,145,3,142,5278.0,791.7,527.8,6597.5,45.5
B000244,P002,2023-10-22,88,2,86,3203.2,480.48,320.32,4004.0,45.5
B000245,P002,2023-10-29,73,1,72,2657.2,398.58,265.72,3321.5,45.5
B000246,P002,2023-11-05,131,3,128,4768.4,715.26,476.84,5960.5,45.5
B000247,P002,2023-11-12,88,2,86,3203.2,480.48,320.32,4004.0,45.5
B000248,P002,2023-11-19,73,1,72,2657.2,398.58,265.72,3321.5,45.5
B000249,P002,2023-11-26,49,1,48,1783.6,267.54,178.36,2229.5,45.5
B000250,P002,2023-12-03,112,2,110,4076.8,611.52,407.68,5096.0,45.5
B000251,P002,2023-12-10,115,2,113,4186.0,627.9,418.6,5232.5,45.5
B000252,P002,2023-12-17,80,2,78,2912.0,436.8,291.2,3640.0,45.5
B000253,P002,2023-12-24,76,2,74,2766.4,414.96,276.64,3458.0,45.5
B000254,P002,2023-12-31,89,2,87,3239.6,485.94,323.96,4049.5,45.5
B000255,P002,2024-01-07,127,3,124,4622.8,693.42,462.28,5778.5,45.5
B000256,P002,2024-01-14,29,1,28,1055.6,158.34,105.56,1319.5,45.5
B000257,P002,2024-01-21,63,1,62,2293.2,343.98,229.32,2866.5,45.5
B000258,P002,2024-01-28,117,2,115,4258.8,638.82,425.88,5323.5,45.5
B000259,P002,2024-02-04,88,2,86,3203.2,480.48,320.32,4004.0,45.5
B000260,P002,2024-02-11,86,2,84,3130.4,469.56,313.04,3913.0,45.5
B000261,P002,2024-02-18,201,4,197,7316.4,1097.46,731.64,9145.5,45.5
B000262,P002,2024-02-25,158,3,155,5751.2,862.68,575.12,7189.0,45.5
B000263,P002,2024-03-03,243,5,238,8845.2,1326.78,884.52,11056.5,45.5
B000264,P002,2024-03-10,214,4,210,7789.6,1168.44,778.96,9737.0,45.5
B000265,P002,2024-03-17,156,3,153,5678.4,851.76,567.84,7098.0,45.5
B000266,P002,2024-03-24,141,3,138,5132.4,769.86,513.24,6415.5,45.5
B000267,P002,2024-03-31,167,3,164,6078.8,911.82,607.88,7598.5,45.5
B000268,P002,2024-04-07,189,4,185,6879.6,1031.94,687.96,8599.5,45.5
B000269,P002,2024-04-14,171,3,168,6224.4,933.66,622.44,7780.5,45.5
B000270,P002,2024-04-21,134,3,131,4877.6,731.64,487.76,6097.0,45.5
B000271,P002,2024-04-28,141,3,138,5132.4,769.86,513.24,6415.5,45.5
B000272,P002,2024-05-05,176,4,172,6406.4,960.96,640.64,8008.0,45.5
B000273,P002,2024-05-12,197,4,193,7170.8,1075.62,717.08,8963.5,45.5
B000274,P002,2024-05-19,469,9,460,17071.6,2560.74,1707.16,21339.5,45.5
B000275,P002,2024-05-26,410,8,402,14924.0,2238.6,1492.4,18655.0,45.5
B000276,P002,2024-06-02,363,7,356,13213.2,1981.98,1321.32,16516.5,45.5
B000277,P002,2024-06-09,388,8,380,14123.2,2118.48,1412.32,17654.0,45.5
B000278,P002,2024-06-16,459,9,450,16707.6,2506.14,1670.76,20884.5,45.5
B000279,P002,2024-06-23,433,9,424,15761.2,2364.18,1576.12,19701.5,45.5
B000280,P002,2024-06-30,393,8,385,14305.2,2145.78,1430.52,17881.5,45.5
B000281,P002,2024-07-07,419,8,411,15251.6,2287.74,1525.16,19064.5,45.5
B000282,P002,2024-07-14,364,7,357,13249.6,1987.44,1324.96,16562.0,45.5
B000283,P002,2024-07-21,328,7,321,11939.2,1790.88,1193.92,14924.0,45.5
B000284,P002,2024-07-28,510,10,500,18564.0,2784.6,1856.4,23205.0,45.5
B000285,P002,2024-08-04,252,5,247,9172.8,1375.92,917.28,11466.0,45.5
B000286,P002,2024-08-11,449,9,440,16343.6,2451.54,1634.36,20429.5,45.5
B000287,P002,2024-08-18,350,7,343,12740.0,1911.0,1274.0,15925.0,45.5
B000288,P002,2024-08-25,427,9,418,15542.8,2331.42,1554.28,19428.5,45.5
B000289,P002,2024-09-01,443,9,434,16125.2,2418.78,1612.52,20156.5,45.5
B000290,P002,2024-09-08,390,8,382,14196.0,2129.4,1419.6,17745.0,45.5
B000291,P002,2024-09-15,268,5,263,9755.2,1463.28,975.52,12194.0,45.5
B000292,P002,2024-09-22,217,4,213,7898.8,1184.82,789.88,9873.5,45.5
B000293,P002,2024-09-29,151,3,148,5496.4,824.46,549.64,6870.5,45.5
B000294,P002,2024-10-06,217,4,213,7898.8,1184.82,789.88,9873.5,45.5
B000295,P002,2024-10-13,138,3,135,5023.2,753.48,502.32,6279.0,45.5
B000296,P002,2024-10-20,152,3,149,5532.8,829.92,553.28,6916.0,45.5
B000297,P002,2024-10-27,102,2,100,3712.8,556.92,371.28,4641.0,45.5
B000298,P002,2024-11-03,125,2,123,4550.0,682.5,455.0,5687.5,45.5
B000299,P002,2024-11-10,66,1,65,2402.4,360.36,240.24,3003.0,45.5
B000300,P002,2024-11-17,100,2,98,3640.0,546.0,364.0,4550.0,45.5
B000301,P002,2024-11-24,125,2,123,4550.0,682.5,455.0,5687.5,45.5
B000302,P002,2024-12-01,63,1,62,2293.2,343.98,229.32,2866.5,45.5
B000303,P002,2024-12-08,100,2,98,3640.0,546.0,364.0,4550.0,45.5
B000304,P002,2024-12-15,44,1,43,1601.6,240.24,160.16,2002.0,45.5
B000305,P002,2024-12-22,103,2,101,3749.2,562.38,374.92,4686.5,45.5
B000306,P002,2024-12-29,144,3,141,5241.6,786.24,524.16,6552.0,45.5
B000307,P002,2025-01-05,316,6,310,11502.4,1725.36,1150.24,14378.0,45.5
B000308,P003,2022-01-02,375,8,367,16500.0,2475.0,1650.0,20625.0,55.0
B000309,P003,2022-01-09,276,6,270,12144.0,1821.6,1214.4,15180.0,55.0
B000310,P003,2022-01-16,243,5,238,10692.0,1603.8,1069.2,13365.0,55.0
B000311,P003,2022-01-23,231,5,226,10164.0,1524.6,1016.4,12705.0,55.0
B000312,P003,2022-01-30,138,3,135,6072.0,910.8,607.2,7590.0,55.0
B000313,P003,2022-02-06,308,6,302,13552.0,2032.8,1355.2,16940.0,55.0
B000314,P003,2022-02-13,124,2,122,5456.0,818.4,545.6,6820.0,55.0
B000315,P003,2022-02-20,59,1,58,2596.0,389.4,259.6,3245.0,55.0
B000316,P003,2022-02-27,105,2,103,4620.0,693.0,462.0,5775.0,55.0
B000317,P003,2022-03-06,103,2,101,4532.0,679.8,453.2,5665.0,55.0
B000318,P003,2022-03-13,60,1,59,2640.0,396.0,264.0,3300.0,55.0
B000319,P003,2022-03-20,104,2,102,4576.0,686.4,457.6,5720.0,55.0
B000320,P003,2022-03-27,92,2,90,4048.0,607.2,404.8,5060.0,55.0
B000321,P003,2022-04-03,101,2,99,4444.0,666.6,444.4,5555.0,55.0
B000322,P003,2022-04-10,82,2,80,3608.0,541.2,360.8,4510.0,55.0
B000323,P003,2022-04-17,85,2,83,3740.0,561.0,374.0,4675.0,55.0
B000324,P003,2022-04-24,101,2,99,4444.0,666.6,444.4,5555.0,55.0
